val/6IbvOJxXnOo_000047_000057__0 152 0
val/6_4kjPiQr7w_000191_000201__0 152 0
val/ASFOR-PFsiM_000040_000050__0 152 0
val/bd6eUL9prjI_000102_000112__0 109 0
val/C0VVxIhDp9Q_000021_000031__0 152 0
val/G9zN5TTuGO4_000179_000189__0 152 0
val/p1VKQa4N-hg_000000_000010__0 152 0
val/z9vSfUWX4pI_000052_000062__0 152 0
val/--nQbRBEz2s_000104_000114__0 152 1
val/2cPLjY5AWXU_000001_000011__0 152 1
val/3K0Sw7rbzPU_000114_000124__0 152 1
val/6Tnsmk9C2rg_000048_000058__0 152 1
val/7LSJ2Ryv1a8_000000_000010__0 150 1
val/9bx-YVn-N2s_000000_000010__0 96 1
val/a5XYYxIhZmY_000081_000091__0 152 1
val/At8LPKnA9Zg_000134_000144__0 152 1
val/BOw4uYkjImw_000031_000041__0 152 1
val/btX0PMRlEPg_000001_000011__0 150 1
val/CSz0mcaxur4_000007_000017__0 120 1
val/DcwyDVypfYg_000000_000010__0 150 1
val/dZpNgW8_5zI_000003_000013__0 152 1
val/f7Z6BmBkcq4_000006_000016__0 152 1
val/fImfVlKAtco_000001_000011__0 152 1
val/GUO-poN9EdQ_000019_000029__0 152 1
val/hasHFfny_X0_000008_000018__0 152 1
val/hcM3tCmCADE_000019_000029__0 151 1
val/HoeC_GSXIqg_000002_000012__0 152 1
val/HtlkxsU62ls_000000_000010__0 152 1
val/InSYAA9cJOs_000015_000025__0 152 1
val/kOjkB7i1igc_000003_000013__0 110 1
val/KSyJy4FnlHo_000032_000042__0 91 1
val/LcToHcdZ3As_000045_000055__0 95 1
val/mQYuteamGwA_000003_000013__0 152 1
val/nd9oT-s_ISI_000004_000014__0 54 1
val/oiRWRYPYVBE_000062_000072__0 152 1
val/oJmjFdkJDSg_000004_000014__0 150 1
val/pb803SLNzDU_000003_000013__0 150 1
val/pj1OiSpSFI0_000022_000032__0 124 1
val/QxZ5kYEJWxw_000004_000014__0 152 1
val/RI1-69UIurQ_000035_000045__0 152 1
val/S1fQycdwCGU_000004_000014__0 86 1
val/UZDXOrI8il0_000099_000109__0 152 1
val/VbQLp-cqHAA_000102_000112__0 152 1
val/w5UCdQ2NmfY_000001_000011__0 152 1
val/WOCjeK86EVU_000176_000186__0 152 1
val/XLkuBgAq6Bc_000012_000022__0 152 1
val/xVam2K4WJ54_000007_000017__0 153 1
val/ZHubd5uJjQ4_000014_000024__0 129 1
val/ZQb3GWgx3wc_000000_000010__0 101 1
val/_DNb_6w2cZM_000001_000011__0 153 1
val/-ejLPB4J4SM_000106_000116__0 152 2
val/-emx5qjikEc_000001_000011__0 152 2
val/0htNc0u9TDk_000000_000010__0 128 2
val/2wA2ZT_1gdc_001095_001105__0 152 2
val/39Hvdi-q6qI_000009_000019__0 152 2
val/5bGElGxGhbs_002934_002944__0 152 2
val/5IqH-ONbhzI_000000_000010__0 152 2
val/AqPeHqTDfGE_000068_000078__0 152 2
val/dplRiYsjQUk_000169_000179__0 152 2
val/dpn2eg9O3Rs_000861_000871__0 152 2
val/EO15LGshDfQ_000028_000038__0 152 2
val/ksSkRXtJmWg_000424_000434__0 152 2
val/naJp2IF0GxA_000367_000377__0 152 2
val/njoCaIgSf7Q_000124_000134__0 152 2
val/NqE4FpM7Ypk_000251_000261__0 152 2
